2d,orb,A,[%(i16)s],OR,A,[hhll]
2e,orb,A,[X1],OR,A,[IX]
2f,orb,A,[X2],OR,A,[IY]
30,cmpb,A,A,CP,A,A
31,cmpb,A,B,CP,A,B
32,cmpb,A,%(i8)s,CP,A,#nn
33,cmpb,A,[HL],CP,A,[HL]
34,cmpb,A,[NN+%(i8)s],CP,A,[BR:ll]
35,cmpb,A,[%(i16)s],CP,A,[hhll]
36,cmpb,A,[X1],CP,A,[IX]
37,cmpb,A,[X2],CP,A,[IY]
38,xorb,A,A,XOR,A,A
39,xorb,A,B,XOR,A,B
3a,xorb,A,%(i8)s,XOR,A,#nn
3b,xorb,A,[HL],XOR,A,[HL]
3c,xorb,A,[NN+%(i8)s],XOR,A,[BR:ll]
3d,xorb,A,[%(i16)s],XOR,A,[hhll]
3e,xorb,A,[X1],XOR,A,[IX]
3f,xorb,A,[X2],XOR,A,[IY]
40,movb,A,A,LD,A,A
41,movb,A,B,LD,A,B
42,movb,A,L,LD,A,L
43,movb,A,H,LD,A,H
44,movb,A,[NN+%(i8)s],LD,A,[BR:ll]
45,movb,A,[HL],LD,A,[HL]
46,movb,A,[X1],LD,A,[IX]
47,movb,A,[X2],LD,A,[IY]
48,movb,B,A,LD,B,A
49,movb,B,B,LD,B,B
4a,movb,B,L,LD,B,L
4b,movb,B,H,LD,B,H
4c,movb,B,[NN+%(i8)s],LD,B,[BR:ll]
4d,movb,B,[HL],LD,B,[HL]
4e,movb,B,[X1],LD,B,[IX]
4f,movb,B,[X2],LD,B,[IY]
50,movb,L,A,LD,L,A
51,movb,L,B,LD,L,B
52,movb,L,L,LD,L,L
53,movb,L,H,LD,L,H
54,movb,L,[NN+%(i8)s],LD,L,[BR:ll]
55,movb,L,[HL],LD,L,[HL]
56,movb,L,[X1],LD,L,[IX]
57,movb,L,[X2],LD,L,[IY]
58,movb,H,A,LD,H,A
59,movb,H,B,LD,H,B
5a,movb,H,L,LD,H,L
5b,movb,H,H,LD,H,H
5c,movb,H,[NN+%(i8)s],LD,H,[BR:ll]
5d,movb,H,[HL],LD,H,[HL]
5e,movb,H,[X1],LD,H,[IX]
5f,movb,H,[X2],LD,H,[IY]
60,movb,[X1],A,LD,[IX],A
61,movb,[X1],B,LD,[IX],B
62,movb,[X1],L,LD,[IX],L
63,movb,[X1],H,LD,[IX],H
64,movb,[X1],[NN+%(i8)s],LD,[IX],[BR:ll]
65,movb,[X1],[HL],LD,[IX],[HL]
66,movb,[X1],[X1],LD,[IX],[IX]
67,movb,[X1],[X2],LD,[IX],[IY]
68,movb,[HL],A,LD,[HL],A
69,movb,[HL],B,LD,[HL],B
6a,movb,[HL],L,LD,[HL],L
6b,movb,[HL],H,LD,[HL],H
6c,movb,[HL],[NN+%(i8)s],LD,[HL],[BR:ll]
6d,movb,[HL],[HL],LD,[HL],[HL]
6e,movb,[HL],[X1],LD,[HL],[IX]
6f,movb,[HL],[X2],LD,[HL],[IY]
70,movb,[X2],A,LD,[IY],A
71,movb,[X2],B,LD,[IY],B
72,movb,[X2],L,LD,[IY],L
73,movb,[X2],H,LD,[IY],H
74,movb,[X2],[NN+%(i8)s],LD,[IY],[BR:ll]
75,movb,[X2],[HL],LD,[IY],[HL]
76,movb,[X2],[X1],LD,[IY],[IX]
77,movb,[X2],[X2],LD,[IY],[IY]
78,movb,[NN+%(i8)s],A,LD,[BR:ll],A
79,movb,[NN+%(i8)s],B,LD,[BR:ll],B
7a,movb,[NN+%(i8)s],L,LD,[BR:ll],L
7b,movb,[NN+%(i8)s],H,LD,[BR:ll],H
7c,undefined,,,undefined,,
7d,movb,[NN+%(i8)s],[HL],LD,[BR:ll],[HL]
7e,movb,[NN+%(i8)s],[X1],LD,[BR:ll],[IX]
7f,movb,[NN+%(i8)s],[X2],LD,[BR:ll],[IY]
80,incb,A,,INC,A,
81,incb,B,,INC,B,
82,incb,L,,INC,L,
83,incb,H,,INC,H,
84,incb,N,,INC,BR,
85,incb,[NN+%(i8)s],,INC,[BR:ll],
86,incb,[HL],,INC,[HL],
87,incw,SP,,INC,SP,
88,decb,A,,DEC,A,
89,decb,B,,DEC,B,
8a,decb,L,,DEC,L,
8b,decb,H,,DEC,H,
8c,decb,N,,DEC,BR,
8d,decb,[NN+%(i8)s],,DEC,[BR:ll],
8e,decb,[HL],,DEC,[HL],
8f,decw,SP,,DEC,SP,
90,incw,BA,,INC,BA,
91,incw,HL,,INC,HL,
92,incw,X1,,INC,IX,
93,incw,X2,,INC,IY,
94,testb,A,B,BIT,A,B
95,testb,[HL],%(i8)s,BIT,[HL],#nn
96,testb,A,%(i8)s,BIT,A,#nn
97,testb,B,%(i8)s,BIT,B,#nn
98,decw,BA,,DEC,BA,
99,decw,HL,,DEC,HL,
9a,decw,X1,,DEC,IX,
9b,decw,X2,,DEC,IY,
9c,andb,FLAGS,%(i8)s,AND,SC,#nn
9d,orb,FLAGS,%(i8)s,OR,SC,#nn
9e,xorb,FLAGS,%(i8)s,XOR,SC,#nn
9f,movb,FLAGS,%(i8)s,LD,SC,#nn
a0,pushw,BA,,PUSH,BA,
a1,pushw,HL,,PUSH,HL,
a2,pushw,X,,PUSH,IX,
a3,pushw,Y,,PUSH,IY,
a4,pushb,N,,PUSH,BR,
a5,pushx,HL,,PUSH,EP,
a6,pushxxx,,,PUSH,IP,
a7,pushb,FLAGS,,PUSH,SC,
a8,popw,BA,,POP,BA,
a9,popw,HL,,POP,HL,
aa,popw,X1,,POP,IX,
ab,popw,X2,,POP,IY,
ac,popb,N,,POP,BR,
ad,popx,HL,,POP,EP,
ae,popxxx,,,POP,IP,
af,popb,FLAGS,,POP,SC,
b0,movb,A,%(i8)s,LD,A,#nn
b1,movb,B,%(i8)s,LD,B,#nn
b2,movb,L,%(i8)s,LD,L,#nn
b3,movb,H,%(i8)s,LD,H,#nn
b4,movw,NN,%(i8)s00,LD,BR,#nn
b5,movb,[HL],%(i8)s,LD,[HL],#nn
b6,movb,[X1],%(i8)s,LD,[IX],#nn
b7,movb,[X2],%(i8)s,LD,[IY],#nn
b8,movw,BA,[%(i16)s],LD,BA,[hhll]
b9,movw,HL,[%(i16)s],LD,HL,[hhll]
ba,movw,X1,[%(i16)s],LD,IX,[hhll]
bb,movw,X2,[%(i16)s],LD,IY,[hhll]
bc,movw,[%(i16)s],BA,LD,[hhll],BA
bd,movw,[%(i16)s],HL,LD,[hhll],HL
be,movw,[%(i16)s],X1,LD,[hhll],IX
bf,movw,[%(i16)s],X2,LD,[hhll],IY
c0,addw,BA,%(i16)s,ADD,BA,#mmnn
c1,addw,HL,%(i16)s,ADD,HL,#mmnn
c2,addw,X1,%(i16)s,ADD,IX,#mmnn
c3,addw,X2,%(i16)s,ADD,IY,#mmnn
c4,movw,BA,%(i16)s,LD,BA,#mmnn
c5,movw,HL,%(i16)s,LD,HL,#mmnn
c6,movw,X1,%(i16)s,LD,IX,#mmnn
c7,movw,X2,%(i16)s,LD,IY,#mmnn
c8,xchgw,BA,HL,EX,BA,HL
c9,xchgw,BA,X1,EX,BA,IX
ca,xchgw,BA,X2,EX,BA,IY
cb,xchgw,BA,SP,EX,BA,SP
cc,xchgb,A,B,EX,A,B
cd,xchgb,A,[HL],EX,A,[HL]
ce,undefined,,,[EXPANSION],,
cf,undefined,,,[EXPANSION],,
d0,subw,BA,%(i16)s,SUB,BA,#mmnn
d1,subw,HL,%(i16)s,SUB,HL,#mmnn
d2,subw,X1,%(i16)s,SUB,IX,#mmnn
d3,subw,X2,%(i16)s,SUB,IY,#mmnn
d4,cmpw,BA,%(i16)s,CP,BA,#mmnn
d5,cmpw,HL,%(i16)s,CP,HL,#mmnn
d6,cmpw,X1,%(i16)s,CP,IX,#mmnn
d7,cmpw,X2,%(i16)s,CP,IY,#mmnn
d8,andb,[NN+%(i8)s],%(b8)s,AND,[BR:ll],#nn
d9,orb,[NN+%(i8)s],%(b8)s,OR,[BR:ll],#nn
